Pokemon,Obtainability Method,Location/Details,Level/Requirement
ABRA,Wild - Walking/Grass,Route24,Lv 10
ABRA,Wild - Walking/Grass,Route24,Lv 8
ABRA,Wild - Walking/Grass,Route24,Lv 12
ABRA,Wild - Walking/Grass,Route25,Lv 11
ABRA,Wild - Walking/Grass,Route25,Lv 9
ABRA,Wild - Walking/Grass,Route25,Lv 13
ABRA,Wild - Walking/Grass,Route24,Lv 10
ABRA,Wild - Walking/Grass,Route24,Lv 8
ABRA,Wild - Walking/Grass,Route24,Lv 12
ABRA,Wild - Walking/Grass,Route25,Lv 11
ABRA,Wild - Walking/Grass,Route25,Lv 9
ABRA,Wild - Walking/Grass,Route25,Lv 13
ABRA,Game Corner Prize,Celadon City Game Corner,230 Coins
AERODACTYL,Wild - Walking/Grass,Rock Tunnel B1F,Lv 25
AERODACTYL,Fossil,Pewter City Museum (Old Amber),Revive at Cinnabar Island Lab
AGGRON,Evolution,From Lairon,Level 42
AIPOM,Wild - Walking/Grass,Six Island Altering Cave,Lv 22
AIPOM,Wild - Walking/Grass,Six Island Altering Cave,Lv 24
AIPOM,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
AIPOM,Wild - Walking/Grass,Six Island Altering Cave,Lv 26
AIPOM,Wild - Walking/Grass,Six Island Altering Cave,Lv 22
AIPOM,Wild - Walking/Grass,Six Island Altering Cave,Lv 24
AIPOM,Wild - Walking/Grass,Six Island Altering Cave,Lv 28
AIPOM,Wild - Walking/Grass,Six Island Altering Cave,Lv 18
AIPOM,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
AIPOM,Wild - Walking/Grass,Six Island Altering Cave,Lv 26
AIPOM,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
AIPOM,Wild - Walking/Grass,Six Island Altering Cave,Lv 26
AIPOM,Wild - Walking/Grass,Six Island Altering Cave,Lv 22
AIPOM,Wild - Walking/Grass,Six Island Altering Cave,Lv 24
AIPOM,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
AIPOM,Wild - Walking/Grass,Six Island Altering Cave,Lv 26
AIPOM,Wild - Walking/Grass,Six Island Altering Cave,Lv 22
AIPOM,Wild - Walking/Grass,Six Island Altering Cave,Lv 24
AIPOM,Wild - Walking/Grass,Six Island Altering Cave,Lv 28
AIPOM,Wild - Walking/Grass,Six Island Altering Cave,Lv 18
AIPOM,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
AIPOM,Wild - Walking/Grass,Six Island Altering Cave,Lv 26
AIPOM,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
AIPOM,Wild - Walking/Grass,Six Island Altering Cave,Lv 26
ALAKAZAM,Evolution,From Kadabra,Level 45
ALTARIA,Evolution,From Swablu,Level 35
AMPHAROS,Evolution,From Flaaffy,Level 30
ARBOK,Wild - Walking/Grass,Victory Road 1F,Lv 44
ARBOK,Wild - Walking/Grass,Victory Road 2F,Lv 46
ARBOK,Wild - Walking/Grass,Victory Road 3F,Lv 44
ARBOK,Wild - Walking/Grass,Route23,Lv 44
ARBOK,Evolution,From Ekans,Level 22
ARCANINE,Evolution,From Growlithe + Fire Stone,Use Stone
ARIADOS,Evolution,From Spinarak,Level 22
ARMALDO,Evolution,From Anorith,Level 40
ARTICUNO,Legendary,Seafoam Islands (B4F),Lv. 50; can only catch one
AZUMARILL,Evolution,From Marill,Level 18
BANETTE,Evolution,From Shuppet,Level 37
BAYLEEF,Evolution,From Chikorita,Level 16
BEAUTIFLY,Evolution,From Silcoon,Level 10
BEEDRILL,Evolution,From Kakuna,Level 10
BELLOSSOM,Evolution,From Gloom + Sun Stone,Use Stone
BELLSPROUT,Wild - Walking/Grass,Route5,Lv 16
BELLSPROUT,Wild - Walking/Grass,Route5,Lv 15
BELLSPROUT,Wild - Walking/Grass,Three Island Berry Forest,Lv 30
BELLSPROUT,Wild - Walking/Grass,Two Island Cape Brink,Lv 30
BELLSPROUT,Wild - Walking/Grass,Two Island Cape Brink,Lv 32
BELLSPROUT,Wild - Walking/Grass,Three Island Bond Bridge,Lv 31
BELLSPROUT,Wild - Walking/Grass,Six Island Water Path,Lv 44
BELLSPROUT,Wild - Walking/Grass,Route5,Lv 13
