Pokemon,Location,Encounter Method,Level Range,Encounter Rate
Abra,Route24,Walking/Grass,10,21
Abra,Route24,Walking/Grass,8,21
Abra,Route24,Walking/Grass,12,21
Abra,Route25,Walking/Grass,11,21
Abra,Route25,Walking/Grass,9,21
Abra,Route25,Walking/Grass,13,21
Abra,Route24,Walking/Grass,10,21
Abra,Route24,Walking/Grass,8,21
Abra,Route24,Walking/Grass,12,21
Abra,Route25,Walking/Grass,11,21
Abra,Route25,Walking/Grass,9,21
Abra,Route25,Walking/Grass,13,21
Aerodactyl,Rock Tunnel B1F,Walking/Grass,25,7
Aipom,Six Island Altering Cave,Walking/Grass,22,5
Aipom,Six Island Altering Cave,Walking/Grass,24,5
Aipom,Six Island Altering Cave,Walking/Grass,20,5
Aipom,Six Island Altering Cave,Walking/Grass,26,5
Aipom,Six Island Altering Cave,Walking/Grass,22,5
Aipom,Six Island Altering Cave,Walking/Grass,24,5
Aipom,Six Island Altering Cave,Walking/Grass,28,5
Aipom,Six Island Altering Cave,Walking/Grass,18,5
Aipom,Six Island Altering Cave,Walking/Grass,20,5
Aipom,Six Island Altering Cave,Walking/Grass,26,5
Aipom,Six Island Altering Cave,Walking/Grass,20,5
Aipom,Six Island Altering Cave,Walking/Grass,26,5
Aipom,Six Island Altering Cave,Walking/Grass,22,7
Aipom,Six Island Altering Cave,Walking/Grass,24,7
Aipom,Six Island Altering Cave,Walking/Grass,20,7
Aipom,Six Island Altering Cave,Walking/Grass,26,7
Aipom,Six Island Altering Cave,Walking/Grass,22,7
Aipom,Six Island Altering Cave,Walking/Grass,24,7
Aipom,Six Island Altering Cave,Walking/Grass,28,7
Aipom,Six Island Altering Cave,Walking/Grass,18,7
Aipom,Six Island Altering Cave,Walking/Grass,20,7
Aipom,Six Island Altering Cave,Walking/Grass,26,7
Aipom,Six Island Altering Cave,Walking/Grass,20,7
Aipom,Six Island Altering Cave,Walking/Grass,26,7
Arbok,Victory Road 1F,Walking/Grass,44,7
Arbok,Victory Road 2F,Walking/Grass,46,7
Arbok,Victory Road 3F,Walking/Grass,44,7
Arbok,Route23,Walking/Grass,44,21
Bellsprout,Route5,Walking/Grass,16,21
Bellsprout,Route5,Walking/Grass,15,21
Bellsprout,Three Island Berry Forest,Walking/Grass,30,21
Bellsprout,Two Island Cape Brink,Walking/Grass,30,21
Bellsprout,Two Island Cape Brink,Walking/Grass,32,21
Bellsprout,Three Island Bond Bridge,Walking/Grass,31,21
Bellsprout,Six Island Water Path,Walking/Grass,44,21
Bellsprout,Route5,Walking/Grass,13,21
Bellsprout,Route5,Walking/Grass,15,21
Bellsprout,Route5,Walking/Grass,16,21
Bellsprout,Route6,Walking/Grass,13,21
Bellsprout,Route6,Walking/Grass,15,21
Bellsprout,Route6,Walking/Grass,16,21
